date,operating_pe_ratio
"Dec. 30, 2016",10.75
"Dec. 29, 2016",10.81
"Dec. 28, 2016",10.66
"Dec. 27, 2016",10.72
"Dec. 23, 2016",10.69
"Dec. 22, 2016",10.69
"Dec. 21, 2016",10.64
"Dec. 20, 2016",10.74
"Dec. 19, 2016",10.82
"Dec. 16, 2016",10.81
"Dec. 15, 2016",10.82
"Dec. 14, 2016",10.62
"Dec. 13, 2016",10.74
"Dec. 12, 2016",10.45
"Dec. 9, 2016",10.57
"Dec. 8, 2016",10.35
"Dec. 7, 2016",10.15
"Dec. 6, 2016",10.01
"Dec. 5, 2016",10.09
"Dec. 2, 2016",9.994
"Dec. 1, 2016",9.74
"Nov. 30, 2016",9.843
"Nov. 29, 2016",10.19
"Nov. 28, 2016",10.11
"Nov. 25, 2016",9.864
"Nov. 23, 2016",9.782
"Nov. 22, 2016",9.828
"Nov. 21, 2016",9.834
"Nov. 18, 2016",9.607
"Nov. 17, 2016",9.534
"Nov. 16, 2016",9.567
"Nov. 15, 2016",9.710
"Nov. 14, 2016",9.316
"Nov. 11, 2016",9.083
"Nov. 10, 2016",9.140
"Nov. 9, 2016",9.710
"Nov. 8, 2016",10.19
"Nov. 7, 2016",10.12
"Nov. 4, 2016",9.897
"Nov. 3, 2016",9.925
"Nov. 2, 2016",9.900
"Nov. 1, 2016",10.07
"Oct. 31, 2016",10.32
"Oct. 28, 2016",10.06
"Oct. 27, 2016",10.07
"Oct. 26, 2016",10.07
"Oct. 25, 2016",9.961
"Oct. 24, 2016",9.885
"Oct. 21, 2016",9.840
"Oct. 20, 2016",9.943
"Oct. 19, 2016",9.955
"Oct. 18, 2016",10.02
"Oct. 17, 2016",9.916
"Oct. 14, 2016",9.900
"Oct. 13, 2016",9.946
"Oct. 12, 2016",9.843
"Oct. 11, 2016",9.734
"Oct. 10, 2016",9.840
"Oct. 7, 2016",9.743
"Oct. 6, 2016",9.707
"Oct. 5, 2016",9.728
"Oct. 4, 2016",9.646
"Oct. 3, 2016",9.922
"Sept. 30, 2016",10.08
"Sept. 29, 2016",10.28
"Sept. 28, 2016",10.50
"Sept. 27, 2016",10.55
"Sept. 26, 2016",10.75
"Sept. 23, 2016",10.74
"Sept. 22, 2016",10.87
"Sept. 21, 2016",10.76
"Sept. 20, 2016",10.47
"Sept. 19, 2016",10.54
"Sept. 16, 2016",10.44
"Sept. 15, 2016",10.39
"Sept. 14, 2016",10.22
"Sept. 13, 2016",10.20
"Sept. 12, 2016",10.38
"Sept. 9, 2016",10.31
"Sept. 8, 2016",10.75
"Sept. 7, 2016",10.67
"Sept. 6, 2016",10.63
"Sept. 2, 2016",10.52
"Sept. 1, 2016",10.44
"Aug. 31, 2016",10.49
"Aug. 30, 2016",10.44
"Aug. 29, 2016",10.51
"Aug. 26, 2016",10.46
"Aug. 25, 2016",10.65
"Aug. 24, 2016",10.71
"Aug. 23, 2016",10.68
"Aug. 22, 2016",10.63
"Aug. 19, 2016",10.61
"Aug. 18, 2016",10.71
"Aug. 17, 2016",10.67
"Aug. 16, 2016",10.57
"Aug. 15, 2016",10.69
"Aug. 12, 2016",10.78
"Aug. 11, 2016",10.74
"Aug. 10, 2016",10.97
"Aug. 9, 2016",11.07
"Aug. 8, 2016",11.15
"Aug. 5, 2016",11.15
"Aug. 4, 2016",11.21
"Aug. 3, 2016",11.29
"Aug. 2, 2016",11.35
"Aug. 1, 2016",11.56
"July 29, 2016",11.51
"July 28, 2016",11.38
"July 27, 2016",11.29
"July 26, 2016",11.45
"July 25, 2016",11.57
"July 22, 2016",11.55
"July 21, 2016",11.25
"July 20, 2016",11.19
"July 19, 2016",11.29
"July 18, 2016",11.32
"July 15, 2016",11.26
"July 14, 2016",11.23
"July 13, 2016",11.34
"July 12, 2016",11.24
"July 11, 2016",11.23
