date,market_cap
"June 27, 2017",7.578B
"June 26, 2017",7.554B
"June 23, 2017",7.474B
"June 22, 2017",7.451B
"June 21, 2017",7.521B
"June 20, 2017",7.498B
"June 19, 2017",7.648B
"June 16, 2017",7.604B
"June 15, 2017",7.685B
"June 14, 2017",7.795B
"June 13, 2017",7.691B
"June 12, 2017",7.611B
"June 9, 2017",7.598B
"June 8, 2017",7.598B
"June 7, 2017",7.678B
"June 6, 2017",7.548B
"June 5, 2017",7.588B
"June 2, 2017",7.624B
"June 1, 2017",7.558B
"May 31, 2017",7.481B
"May 30, 2017",7.504B
"May 26, 2017",7.658B
"May 25, 2017",7.611B
"May 24, 2017",7.464B
"May 23, 2017",7.368B
"May 22, 2017",7.197B
"May 19, 2017",7.101B
"May 18, 2017",7.010B
"May 17, 2017",6.994B
"May 16, 2017",7.177B
"May 15, 2017",7.094B
"May 12, 2017",7.084B
"May 11, 2017",7.201B
"May 10, 2017",7.217B
"May 9, 2017",7.287B
"May 8, 2017",7.144B
"May 5, 2017",7.177B
"May 4, 2017",7.187B
"May 3, 2017",7.307B
"May 2, 2017",7.361B
"May 1, 2017",7.214B
"April 28, 2017",7.284B
"April 27, 2017",7.388B
"April 26, 2017",7.424B
"April 25, 2017",7.498B
"April 24, 2017",7.257B
"April 21, 2017",7.184B
"April 20, 2017",7.137B
"April 19, 2017",7.074B
"April 18, 2017",6.937B
"April 17, 2017",6.980B
"April 13, 2017",6.917B
"April 12, 2017",7.074B
"April 11, 2017",7.187B
"April 10, 2017",7.091B
"April 7, 2017",7.041B
"April 6, 2017",6.977B
"April 5, 2017",6.864B
"April 4, 2017",6.844B
"April 3, 2017",6.887B
"March 31, 2017",6.877B
"March 30, 2017",6.915B
"March 29, 2017",6.885B
"March 28, 2017",6.945B
"March 27, 2017",6.768B
"March 24, 2017",6.651B
"March 23, 2017",6.714B
"March 22, 2017",6.673B
"March 21, 2017",6.660B
"March 20, 2017",6.838B
"March 17, 2017",6.795B
"March 16, 2017",6.747B
"March 15, 2017",6.771B
"March 14, 2017",6.614B
"March 13, 2017",6.754B
"March 10, 2017",6.754B
"March 9, 2017",6.429B
"March 8, 2017",6.532B
"March 7, 2017",6.491B
"March 6, 2017",6.542B
"March 3, 2017",6.808B
"March 2, 2017",6.704B
"March 1, 2017",6.909B
"Feb. 28, 2017",6.727B
"Feb. 27, 2017",6.731B
"Feb. 24, 2017",6.596B
"Feb. 23, 2017",6.609B
"Feb. 22, 2017",6.714B
"Feb. 21, 2017",6.774B
"Feb. 17, 2017",6.778B
"Feb. 16, 2017",6.687B
"Feb. 15, 2017",6.710B
"Feb. 14, 2017",6.626B
"Feb. 13, 2017",6.687B
"Feb. 10, 2017",6.673B
"Feb. 9, 2017",6.731B
"Feb. 8, 2017",6.501B
"Feb. 7, 2017",6.357B
"Feb. 6, 2017",6.572B
"Feb. 3, 2017",6.572B
"Feb. 2, 2017",6.528B
"Feb. 1, 2017",6.532B
"Jan. 31, 2017",6.609B
"Jan. 30, 2017",6.524B
"Jan. 27, 2017",6.622B
"Jan. 26, 2017",7.111B
"Jan. 25, 2017",7.336B
"Jan. 24, 2017",7.219B
"Jan. 23, 2017",7.090B
"Jan. 20, 2017",7.215B
"Jan. 19, 2017",7.198B
"Jan. 18, 2017",7.242B
"Jan. 17, 2017",7.192B
"Jan. 13, 2017",7.333B
"Jan. 12, 2017",7.353B
"Jan. 11, 2017",7.677B
"Jan. 10, 2017",7.586B
"Jan. 9, 2017",7.431B
"Jan. 6, 2017",7.357B
"Jan. 5, 2017",7.505B
"Jan. 4, 2017",7.633B
"Jan. 3, 2017",7.545B
"Dec. 30, 2016",7.258B
"Dec. 29, 2016",7.167B
"Dec. 28, 2016",7.132B
"Dec. 27, 2016",7.213B
"Dec. 23, 2016",7.210B
"Dec. 22, 2016",7.184B
"Dec. 21, 2016",7.352B
"Dec. 20, 2016",7.378B
"Dec. 19, 2016",7.287B
"Dec. 16, 2016",7.180B
"Dec. 15, 2016",7.281B
"Dec. 14, 2016",7.171B
"Dec. 13, 2016",7.294B
"Dec. 12, 2016",6.999B
"Dec. 9, 2016",7.090B
"Dec. 8, 2016",7.067B
"Dec. 7, 2016",7.087B
"Dec. 6, 2016",6.860B
"Dec. 5, 2016",6.766B
"Dec. 2, 2016",6.776B
"Dec. 1, 2016",6.604B
"Nov. 30, 2016",6.504B
"Nov. 29, 2016",6.701B
"Nov. 28, 2016",6.669B
"Nov. 25, 2016",6.818B
"Nov. 23, 2016",6.792B
"Nov. 22, 2016",6.708B
"Nov. 21, 2016",6.692B
"Nov. 18, 2016",6.711B
"Nov. 17, 2016",6.714B
"Nov. 16, 2016",6.543B
"Nov. 15, 2016",6.617B
"Nov. 14, 2016",6.387B
"Nov. 11, 2016",6.232B
"Nov. 10, 2016",6.216B
"Nov. 9, 2016",5.979B
"Nov. 8, 2016",5.908B
"Nov. 7, 2016",5.779B
"Nov. 4, 2016",5.507B
"Nov. 3, 2016",5.481B
"Nov. 2, 2016",5.491B
"Nov. 1, 2016",5.594B
"Oct. 31, 2016",5.659B
"Oct. 28, 2016",5.588B
"Oct. 27, 2016",5.620B
"Oct. 26, 2016",5.682B
"Oct. 25, 2016",5.850B
"Oct. 24, 2016",6.070B
"Oct. 21, 2016",6.012B
"Oct. 20, 2016",6.021B
"Oct. 19, 2016",5.905B
"Oct. 18, 2016",5.756B
"Oct. 17, 2016",5.753B
"Oct. 14, 2016",5.775B
"Oct. 13, 2016",5.898B
"Oct. 12, 2016",5.753B
"Oct. 11, 2016",5.782B
"Oct. 10, 2016",5.775B
"Oct. 7, 2016",5.630B
"Oct. 6, 2016",5.704B
"Oct. 5, 2016",5.782B
"Oct. 4, 2016",5.772B
"Oct. 3, 2016",5.717B
"Sept. 30, 2016",5.581B
"Sept. 29, 2016",5.550B
"Sept. 28, 2016",5.681B
"Sept. 27, 2016",5.609B
"Sept. 26, 2016",5.482B
"Sept. 23, 2016",5.589B
"Sept. 22, 2016",5.599B
"Sept. 21, 2016",5.563B
"Sept. 20, 2016",5.579B
