date,operating_pe_ratio
"April 5, 2017",11.43
"April 4, 2017",11.34
"April 3, 2017",11.27
"March 31, 2017",11.24
"March 30, 2017",15.06
"March 29, 2017",15.12
"March 28, 2017",15.28
"March 27, 2017",15.24
"March 24, 2017",15.40
"March 23, 2017",15.32
"March 22, 2017",15.30
"March 21, 2017",15.27
"March 20, 2017",15.01
"March 17, 2017",15.11
"March 16, 2017",14.98
"March 15, 2017",15.17
"March 14, 2017",14.90
"March 13, 2017",14.92
"March 10, 2017",14.89
"March 9, 2017",14.78
"March 8, 2017",14.78
"March 7, 2017",15.03
"March 6, 2017",14.92
"March 3, 2017",14.99
"March 2, 2017",15.01
"March 1, 2017",14.94
"Feb. 28, 2017",15.14
"Feb. 27, 2017",15.00
"Feb. 24, 2017",15.05
"Feb. 23, 2017",14.84
"Feb. 22, 2017",14.69
"Feb. 21, 2017",14.66
"Feb. 17, 2017",14.50
"Feb. 16, 2017",14.38
"Feb. 15, 2017",14.28
"Feb. 14, 2017",14.37
"Feb. 13, 2017",14.45
"Feb. 10, 2017",14.37
"Feb. 9, 2017",14.27
"Feb. 8, 2017",14.33
"Feb. 7, 2017",14.03
"Feb. 6, 2017",13.98
"Feb. 3, 2017",13.97
"Feb. 2, 2017",14.05
"Feb. 1, 2017",13.81
"Jan. 31, 2017",14.04
"Jan. 30, 2017",13.74
"Jan. 27, 2017",13.75
"Jan. 26, 2017",13.78
"Jan. 25, 2017",13.80
"Jan. 24, 2017",13.81
"Jan. 23, 2017",13.84
"Jan. 20, 2017",13.92
"Jan. 19, 2017",13.86
"Jan. 18, 2017",13.94
"Jan. 17, 2017",14.02
"Jan. 13, 2017",13.74
"Jan. 12, 2017",13.75
"Jan. 11, 2017",13.81
"Jan. 10, 2017",13.63
"Jan. 9, 2017",13.68
"Jan. 6, 2017",13.89
"Jan. 5, 2017",13.73
"Jan. 4, 2017",13.75
"Jan. 3, 2017",13.70
"Dec. 31, 2016",
"Dec. 30, 2016",22.57
"Dec. 29, 2016",22.69
"Dec. 28, 2016",22.31
"Dec. 27, 2016",22.72
"Dec. 23, 2016",22.72
"Dec. 22, 2016",22.76
"Dec. 21, 2016",22.70
"Dec. 20, 2016",22.70
"Dec. 19, 2016",22.59
"Dec. 16, 2016",22.67
"Dec. 15, 2016",22.29
"Dec. 14, 2016",22.10
"Dec. 13, 2016",22.50
"Dec. 12, 2016",22.22
"Dec. 9, 2016",22.03
"Dec. 8, 2016",21.98
"Dec. 7, 2016",21.84
"Dec. 6, 2016",21.68
"Dec. 5, 2016",21.68
"Dec. 2, 2016",21.64
"Dec. 1, 2016",21.55
"Nov. 30, 2016",21.84
"Nov. 29, 2016",22.45
"Nov. 28, 2016",22.56
"Nov. 25, 2016",22.02
"Nov. 23, 2016",21.80
"Nov. 22, 2016",22.03
"Nov. 21, 2016",21.97
"Nov. 18, 2016",21.68
"Nov. 17, 2016",21.79
"Nov. 16, 2016",21.80
"Nov. 15, 2016",21.95
"Nov. 14, 2016",21.59
"Nov. 11, 2016",21.72
"Nov. 10, 2016",21.72
"Nov. 9, 2016",22.06
"Nov. 8, 2016",23.03
"Nov. 7, 2016",22.69
"Nov. 4, 2016",22.22
"Nov. 3, 2016",22.36
"Nov. 2, 2016",22.38
"Nov. 1, 2016",22.73
"Oct. 31, 2016",23.07
"Oct. 28, 2016",22.65
"Oct. 27, 2016",22.54
"Oct. 26, 2016",22.62
"Oct. 25, 2016",22.58
"Oct. 24, 2016",22.47
"Oct. 21, 2016",22.40
