date,Open,High,Low,Close
"March 9, 2017",110.42,112.50,105.49,108.83
"March 8, 2017",119.24,120.91,109.92,112.08
"March 7, 2017",122.68,123.01,119.78,120.13
"March 6, 2017",123.66,123.69,119.46,122.44
"March 3, 2017",125.59,127.81,123.40,123.98
"March 2, 2017",129.17,130.94,125.53,125.96
"March 1, 2017",129.50,134.29,129.50,131.65
"Feb. 28, 2017",128.91,132.36,128.18,128.95
"Feb. 27, 2017",127.43,132.17,125.42,130.84
"Feb. 24, 2017",129.72,131.37,125.75,126.56
"Feb. 23, 2017",124.64,132.70,124.60,131.63
"Feb. 22, 2017",126.57,126.62,123.31,123.69
"Feb. 21, 2017",128.05,131.00,128.05,128.57
"Feb. 17, 2017",131.20,131.88,126.38,127.06
"Feb. 16, 2017",135.09,136.09,130.67,132.29
"Feb. 15, 2017",137.24,137.88,135.09,135.09
"Feb. 14, 2017",135.78,139.00,134.36,138.44
"Feb. 13, 2017",133.91,136.60,133.09,135.43
"Feb. 10, 2017",132.25,136.50,132.25,135.30
"Feb. 9, 2017",131.08,134.44,130.53,131.55
"Feb. 8, 2017",127.25,130.69,123.61,129.45
"Feb. 7, 2017",132.10,133.75,127.49,129.10
"Feb. 6, 2017",140.08,141.70,130.94,132.10
"Feb. 3, 2017",134.63,142.64,134.63,142.35
"Feb. 2, 2017",136.39,136.39,132.24,134.02
"Feb. 1, 2017",137.87,139.36,132.64,136.17
"Jan. 31, 2017",134.31,136.23,131.24,136.09
"Jan. 30, 2017",140.25,140.43,132.57,134.09
"Jan. 27, 2017",144.91,145.12,140.21,143.05
"Jan. 26, 2017",148.69,150.31,145.26,146.60
"Jan. 25, 2017",144.76,149.36,144.42,147.85
"Jan. 24, 2017",141.66,147.20,140.92,144.76
"Jan. 23, 2017",143.81,144.27,138.48,140.99
"Jan. 20, 2017",143.43,147.88,143.38,145.88
"Jan. 19, 2017",140.75,145.26,140.48,142.33
"Jan. 18, 2017",140.22,141.01,137.03,140.61
"Jan. 17, 2017",144.03,145.72,142.43,143.32
"Jan. 13, 2017",144.02,145.54,142.38,142.90
"Jan. 12, 2017",149.44,150.00,142.30,144.68
"Jan. 11, 2017",143.34,147.16,142.63,146.72
"Jan. 10, 2017",142.41,144.16,139.87,142.02
"Jan. 9, 2017",152.42,152.43,142.42,144.01
"Jan. 6, 2017",152.36,156.54,147.71,153.79
"Jan. 5, 2017",152.90,154.08,147.64,153.19
"Jan. 4, 2017",149.37,153.39,147.11,152.03
"Jan. 3, 2017",148.12,152.51,142.92,148.72
"Dec. 30, 2016",143.40,147.07,142.80,143.96
"Dec. 29, 2016",145.51,146.38,142.77,143.63
"Dec. 28, 2016",149.77,151.35,143.93,145.25
"Dec. 27, 2016",147.96,149.97,147.40,149.05
"Dec. 23, 2016",145.71,148.12,144.52,146.99
"Dec. 22, 2016",145.79,147.21,143.72,146.12
"Dec. 21, 2016",147.86,148.61,143.67,144.66
"Dec. 20, 2016",144.03,149.05,144.03,147.20
"Dec. 19, 2016",139.82,143.30,138.03,142.57
"Dec. 16, 2016",140.45,142.68,138.80,139.64
"Dec. 15, 2016",132.79,139.67,131.91,138.92
"Dec. 14, 2016",140.68,142.29,133.84,135.27
"Dec. 13, 2016",142.69,144.13,136.01,141.94
"Dec. 12, 2016",147.91,154.08,140.53,141.72
"Dec. 9, 2016",136.84,141.82,136.18,140.82
"Dec. 8, 2016",130.80,135.96,130.60,134.56
"Dec. 7, 2016",133.58,133.94,128.73,129.39
"Dec. 6, 2016",125.97,137.39,125.46,135.68
"Dec. 5, 2016",123.92,132.57,123.92,129.54
"Dec. 2, 2016",121.99,123.91,119.78,123.13
"Dec. 1, 2016",117.92,125.24,117.92,122.05
"Nov. 30, 2016",101.12,118.18,101.12,117.92
"Nov. 29, 2016",101.52,102.13,97.90,101.12
"Nov. 28, 2016",108.19,109.02,102.70,102.88
"Nov. 25, 2016",109.54,109.54,106.49,107.59
"Nov. 23, 2016",105.23,110.80,104.60,110.58
"Nov. 22, 2016",106.39,108.49,104.14,107.11
"Nov. 21, 2016",103.46,106.53,103.35,105.81
"Nov. 18, 2016",99.65,102.51,99.62,101.72
"Nov. 17, 2016",99.21,102.49,97.44,98.83
"Nov. 16, 2016",97.88,99.21,96.13,97.95
"Nov. 15, 2016",95.61,100.77,95.61,98.80
"Nov. 14, 2016",91.37,94.84,90.43,94.84
"Nov. 11, 2016",91.35,92.55,89.05,92.37
"Nov. 10, 2016",90.27,95.21,90.26,92.65
"Nov. 9, 2016",86.84,90.89,86.65,90.66
"Nov. 8, 2016",89.04,90.27,85.93,86.78
"Nov. 7, 2016",86.10,90.41,85.84,90.05
"Nov. 4, 2016",84.22,86.66,81.97,85.51
"Nov. 3, 2016",84.90,87.09,84.72,85.09
"Nov. 2, 2016",87.07,87.88,83.48,84.23
"Nov. 1, 2016",87.82,88.68,85.71,88.49
"Oct. 31, 2016",90.53,90.70,86.03,86.40
"Oct. 28, 2016",95.62,96.51,91.06,91.50
"Oct. 27, 2016",96.37,96.96,95.14,96.12
"Oct. 26, 2016",96.00,96.96,93.38,95.37
"Oct. 25, 2016",99.63,101.48,96.78,97.12
"Oct. 24, 2016",100.61,102.48,98.47,100.77
"Oct. 21, 2016",100.22,104.23,99.84,101.28
"Oct. 20, 2016",98.52,102.11,98.03,101.79
"Oct. 19, 2016",98.78,102.48,98.44,100.68
"Oct. 18, 2016",95.82,97.63,95.00,97.10
"Oct. 17, 2016",94.08,96.14,92.92,95.32
"Oct. 14, 2016",97.06,98.11,93.95,94.98
"Oct. 13, 2016",94.56,97.20,92.96,96.63
"Oct. 12, 2016",96.33,97.76,95.17,96.20
"Oct. 11, 2016",99.50,99.77,96.55,98.15
"Oct. 10, 2016",95.85,100.96,95.85,100.09
"Oct. 7, 2016",98.28,98.88,94.99,95.02
"Oct. 6, 2016",99.83,102.16,96.86,98.11
"Oct. 5, 2016",93.92,100.76,93.92,99.09
"Oct. 4, 2016",97.54,98.08,92.94,93.60
"Oct. 3, 2016",96.53,97.64,94.90,97.24
"Sept. 30, 2016",92.55,96.66,91.48,95.81
"Sept. 29, 2016",90.94,96.43,90.34,92.25
"Sept. 28, 2016",81.79,90.82,81.07,90.64
"Sept. 27, 2016",82.10,82.10,77.73,80.54
"Sept. 26, 2016",82.23,84.76,81.59,82.53
"Sept. 23, 2016",83.66,85.76,80.29,80.97
"Sept. 22, 2016",83.19,85.47,82.98,84.46
