date,pe_ratio
"Dec. 11, 2017",33.15
"Dec. 8, 2017",33.10
"Dec. 7, 2017",32.96
"Dec. 6, 2017",32.93
"Dec. 5, 2017",32.68
"Dec. 4, 2017",32.96
"Dec. 1, 2017",33.33
"Nov. 30, 2017",33.57
"Nov. 29, 2017",33.13
"Nov. 28, 2017",33.17
"Nov. 27, 2017",33.05
"Nov. 24, 2017",32.98
"Nov. 22, 2017",32.98
"Nov. 21, 2017",33.20
"Nov. 20, 2017",33.04
"Nov. 17, 2017",33.02
"Nov. 16, 2017",33.32
"Nov. 15, 2017",33.22
"Nov. 14, 2017",33.63
"Nov. 13, 2017",33.32
"Nov. 10, 2017",33.17
"Nov. 9, 2017",33.56
"Nov. 8, 2017",33.56
"Nov. 7, 2017",33.50
"Nov. 6, 2017",33.18
"Nov. 3, 2017",33.33
"Nov. 2, 2017",32.85
"Nov. 1, 2017",32.41
"Oct. 31, 2017",32.16
"Oct. 30, 2017",32.01
"Oct. 27, 2017",32.24
"Oct. 26, 2017",32.28
"Oct. 25, 2017",32.37
"Oct. 24, 2017",32.52
"Oct. 23, 2017",32.71
"Oct. 20, 2017",32.51
"Oct. 19, 2017",32.63
"Oct. 18, 2017",32.23
"Oct. 17, 2017",32.26
"Oct. 16, 2017",32.16
"Oct. 13, 2017",32.44
"Oct. 12, 2017",32.40
"Oct. 11, 2017",32.22
"Oct. 10, 2017",32.13
"Oct. 9, 2017",31.60
"Oct. 6, 2017",31.37
"Oct. 5, 2017",31.37
"Oct. 4, 2017",31.35
"Oct. 3, 2017",30.94
"Oct. 2, 2017",31.11
"Sept. 30, 2017",31.21
"Sept. 29, 2017",29.76
"Sept. 28, 2017",29.65
"Sept. 27, 2017",29.56
"Sept. 26, 2017",30.31
"Sept. 25, 2017",30.13
"Sept. 22, 2017",29.87
"Sept. 21, 2017",30.37
"Sept. 20, 2017",30.45
"Sept. 19, 2017",30.70
"Sept. 18, 2017",30.86
"Sept. 15, 2017",31.38
"Sept. 14, 2017",31.30
"Sept. 13, 2017",31.02
"Sept. 12, 2017",31.15
"Sept. 11, 2017",31.66
"Sept. 8, 2017",31.52
"Sept. 7, 2017",31.38
"Sept. 6, 2017",31.15
"Sept. 5, 2017",31.24
"Sept. 1, 2017",31.23
"Aug. 31, 2017",31.24
"Aug. 30, 2017",31.29
"Aug. 29, 2017",31.37
"Aug. 28, 2017",31.50
"Aug. 25, 2017",31.52
"Aug. 24, 2017",31.33
"Aug. 23, 2017",31.43
