date,enterprise_value
"Nov. 15, 2017",257.61B
"Nov. 14, 2017",258.50B
"Nov. 13, 2017",259.09B
"Nov. 10, 2017",258.99B
"Nov. 9, 2017",259.11B
"Nov. 8, 2017",258.02B
"Nov. 7, 2017",259.11B
"Nov. 6, 2017",258.73B
"Nov. 3, 2017",254.83B
"Nov. 2, 2017",255.48B
"Nov. 1, 2017",256.56B
"Oct. 31, 2017",256.54B
"Oct. 30, 2017",253.69B
"Oct. 27, 2017",252.08B
"Oct. 26, 2017",261.39B
"Oct. 25, 2017",261.39B
"Oct. 24, 2017",262.89B
"Oct. 23, 2017",262.32B
"Oct. 20, 2017",261.77B
"Oct. 19, 2017",260.93B
"Oct. 18, 2017",260.84B
"Oct. 17, 2017",264.77B
"Oct. 16, 2017",264.60B
"Oct. 13, 2017",262.75B
"Oct. 12, 2017",262.72B
"Oct. 11, 2017",263.08B
"Oct. 10, 2017",262.07B
"Oct. 9, 2017",260.00B
"Oct. 6, 2017",258.71B
"Oct. 5, 2017",261.65B
"Oct. 4, 2017",259.75B
"Oct. 3, 2017",260.21B
"Oct. 2, 2017",259.47B
"Sept. 30, 2017",259.60B
"Sept. 29, 2017",261.84B
"Sept. 28, 2017",262.07B
"Sept. 27, 2017",261.75B
"Sept. 26, 2017",261.88B
"Sept. 25, 2017",262.77B
"Sept. 22, 2017",261.45B
"Sept. 21, 2017",259.89B
"Sept. 20, 2017",259.70B
"Sept. 19, 2017",259.65B
"Sept. 18, 2017",257.47B
"Sept. 15, 2017",256.41B
"Sept. 14, 2017",256.06B
"Sept. 13, 2017",255.55B
"Sept. 12, 2017",252.35B
"Sept. 11, 2017",252.41B
"Sept. 8, 2017",249.11B
"Sept. 7, 2017",251.04B
"Sept. 6, 2017",251.02B
"Sept. 5, 2017",246.57B
"Sept. 1, 2017",245.28B
"Aug. 31, 2017",243.12B
"Aug. 30, 2017",243.33B
"Aug. 29, 2017",243.58B
"Aug. 28, 2017",243.39B
"Aug. 25, 2017",244.28B
"Aug. 24, 2017",242.78B
"Aug. 23, 2017",241.21B
"Aug. 22, 2017",240.73B
"Aug. 21, 2017",239.63B
"Aug. 18, 2017",240.96B
"Aug. 17, 2017",239.90B
"Aug. 16, 2017",241.64B
"Aug. 15, 2017",244.92B
"Aug. 14, 2017",245.19B
"Aug. 11, 2017",246.17B
"Aug. 10, 2017",247.84B
"Aug. 9, 2017",249.32B
"Aug. 8, 2017",248.29B
"Aug. 7, 2017",247.21B
"Aug. 4, 2017",247.84B
"Aug. 3, 2017",246.55B
"Aug. 2, 2017",248.50B
"Aug. 1, 2017",249.11B
"July 31, 2017",246.10B
"July 28, 2017",244.07B
"July 27, 2017",240.26B
"July 26, 2017",238.38B
"July 25, 2017",237.00B
"July 24, 2017",234.75B
"July 21, 2017",234.84B
"July 20, 2017",237.46B
"July 19, 2017",237.13B
"July 18, 2017",235.73B
"July 17, 2017",236.66B
"July 14, 2017",237.10B
"July 13, 2017",236.51B
"July 12, 2017",236.05B
"July 11, 2017",234.59B
"July 10, 2017",234.44B
"July 7, 2017",235.29B
"July 6, 2017",235.92B
"July 5, 2017",237.44B
"July 3, 2017",240.62B
"June 30, 2017",236.89B
"June 29, 2017",236.63B
"June 28, 2017",236.93B
"June 27, 2017",236.53B
"June 26, 2017",236.66B
"June 23, 2017",238.29B
"June 22, 2017",237.25B
"June 21, 2017",237.33B
"June 20, 2017",241.10B
"June 19, 2017",242.95B
"June 16, 2017",244.64B
"June 15, 2017",240.81B
"June 14, 2017",241.33B
"June 13, 2017",244.22B
"June 12, 2017",244.05B
"June 9, 2017",240.95B
"June 8, 2017",236.40B
"June 7, 2017",235.96B
"June 6, 2017",236.72B
"June 5, 2017",234.86B
"June 2, 2017",234.71B
"June 1, 2017",236.91B
"May 31, 2017",235.41B
"May 30, 2017",236.51B
"May 26, 2017",237.76B
"May 25, 2017",238.50B
"May 24, 2017",240.61B
"May 23, 2017",240.70B
"May 22, 2017",240.42B
"May 19, 2017",241.17B
"May 18, 2017",238.62B
"May 17, 2017",237.73B
"May 16, 2017",242.56B
"May 15, 2017",241.80B
"May 12, 2017",240.11B
"May 11, 2017",240.59B
"May 10, 2017",241.14B
"May 9, 2017",238.45B
"May 8, 2017",241.48B
"May 5, 2017",239.79B
"May 4, 2017",237.93B
"May 3, 2017",241.55B
"May 2, 2017",238.98B
"May 1, 2017",240.04B
"April 28, 2017",241.51B
"April 27, 2017",239.18B
"April 26, 2017",240.34B
"April 25, 2017",241.57B
"April 24, 2017",240.06B
"April 21, 2017",238.09B
"April 20, 2017",238.07B
"April 19, 2017",236.84B
"April 18, 2017",239.58B
"April 17, 2017",240.51B
"April 13, 2017",240.38B
"April 12, 2017",245.82B
"April 11, 2017",245.82B
"April 10, 2017",246.69B
"April 7, 2017",245.61B
"April 6, 2017",246.42B
"April 5, 2017",245.19B
"April 4, 2017",245.23B
"April 3, 2017",243.60B
"March 31, 2017",242.78B
"March 30, 2017",244.32B
"March 29, 2017",244.87B
"March 28, 2017",243.17B
"March 27, 2017",241.48B
"March 24, 2017",244.72B
"March 23, 2017",244.50B
"March 22, 2017",245.48B
"March 21, 2017",244.82B
"March 20, 2017",244.10B
"March 17, 2017",244.14B
"March 16, 2017",244.39B
"March 15, 2017",246.32B
"March 14, 2017",243.44B
"March 13, 2017",247.21B
"March 10, 2017",249.59B
"March 9, 2017",248.52B
"March 8, 2017",247.70B
"March 7, 2017",251.87B
"March 6, 2017",254.44B
"March 3, 2017",255.16B
"March 2, 2017",254.80B
"March 1, 2017",255.78B
"Feb. 28, 2017",253.17B
"Feb. 27, 2017",251.75B
"Feb. 24, 2017",248.67B
"Feb. 23, 2017",250.37B
"Feb. 22, 2017",249.16B
"Feb. 21, 2017",251.70B
"Feb. 17, 2017",249.06B
"Feb. 16, 2017",249.73B
"Feb. 15, 2017",253.30B
"Feb. 14, 2017",253.03B
"Feb. 13, 2017",255.66B
"Feb. 10, 2017",254.03B
"Feb. 9, 2017",252.54B
"Feb. 8, 2017",251.25B
"Feb. 7, 2017",250.89B
"Feb. 6, 2017",253.90B
"Feb. 3, 2017",255.02B
"Feb. 2, 2017",252.44B
"Feb. 1, 2017",250.16B
"Jan. 31, 2017",250.82B
"Jan. 30, 2017",251.71B
"Jan. 27, 2017",255.43B
"Jan. 26, 2017",260.65B
"Jan. 25, 2017",261.96B
"Jan. 24, 2017",260.31B
"Jan. 23, 2017",258.46B
"Jan. 20, 2017",258.86B
"Jan. 19, 2017",258.82B
"Jan. 18, 2017",259.50B
"Jan. 17, 2017",260.14B
"Jan. 13, 2017",260.33B
"Jan. 12, 2017",259.92B
"Jan. 11, 2017",259.48B
