date,market_cap
"Sept. 15, 2017",61.11B
"Sept. 14, 2017",61.25B
"Sept. 13, 2017",60.73B
"Sept. 12, 2017",61.09B
"Sept. 11, 2017",61.83B
"Sept. 8, 2017",61.44B
"Sept. 7, 2017",61.13B
"Sept. 6, 2017",60.89B
"Sept. 5, 2017",61.18B
"Sept. 1, 2017",60.96B
"Aug. 31, 2017",61.11B
"Aug. 30, 2017",61.09B
"Aug. 29, 2017",61.25B
"Aug. 28, 2017",61.19B
"Aug. 25, 2017",61.06B
"Aug. 24, 2017",60.73B
"Aug. 23, 2017",60.81B
"Aug. 22, 2017",60.58B
"Aug. 21, 2017",60.60B
"Aug. 18, 2017",60.46B
"Aug. 17, 2017",60.10B
"Aug. 16, 2017",60.41B
"Aug. 15, 2017",60.82B
"Aug. 14, 2017",60.28B
"Aug. 11, 2017",59.99B
"Aug. 10, 2017",60.47B
"Aug. 9, 2017",60.34B
"Aug. 8, 2017",60.62B
"Aug. 7, 2017",60.38B
"Aug. 4, 2017",60.53B
"Aug. 3, 2017",60.55B
"Aug. 2, 2017",60.01B
"Aug. 1, 2017",59.61B
"July 31, 2017",59.58B
"July 28, 2017",59.43B
"July 27, 2017",59.53B
"July 26, 2017",59.11B
"July 25, 2017",58.66B
"July 24, 2017",59.18B
"July 21, 2017",59.64B
"July 20, 2017",59.45B
"July 19, 2017",59.04B
"July 18, 2017",58.93B
"July 17, 2017",58.82B
"July 14, 2017",58.68B
"July 13, 2017",58.35B
"July 12, 2017",58.78B
"July 11, 2017",58.22B
"July 10, 2017",58.23B
"July 7, 2017",58.39B
"July 6, 2017",58.24B
"July 5, 2017",58.30B
"July 3, 2017",58.31B
"June 30, 2017",58.51B
"June 29, 2017",58.81B
"June 28, 2017",59.47B
"June 27, 2017",59.98B
"June 26, 2017",60.68B
"June 23, 2017",60.16B
"June 22, 2017",60.39B
"June 21, 2017",60.59B
"June 20, 2017",60.83B
"June 19, 2017",60.81B
"June 16, 2017",60.99B
"June 15, 2017",60.85B
"June 14, 2017",60.41B
"June 13, 2017",60.15B
"June 12, 2017",59.92B
"June 9, 2017",59.99B
"June 8, 2017",59.76B
"June 7, 2017",60.25B
"June 6, 2017",60.06B
"June 5, 2017",60.07B
"June 2, 2017",60.39B
"June 1, 2017",60.47B
"May 31, 2017",59.97B
"May 30, 2017",59.78B
"May 26, 2017",59.54B
"May 25, 2017",59.59B
"May 24, 2017",59.27B
"May 23, 2017",59.00B
"May 22, 2017",58.86B
"May 19, 2017",58.35B
"May 18, 2017",58.27B
"May 17, 2017",57.94B
"May 16, 2017",58.17B
"May 15, 2017",58.50B
"May 12, 2017",58.43B
"May 11, 2017",58.09B
"May 10, 2017",57.73B
"May 9, 2017",57.47B
"May 8, 2017",58.03B
"May 5, 2017",58.08B
"May 4, 2017",57.80B
"May 3, 2017",57.42B
"May 2, 2017",57.66B
"May 1, 2017",57.44B
"April 28, 2017",57.74B
"April 27, 2017",58.02B
"April 26, 2017",57.81B
"April 25, 2017",57.87B
"April 24, 2017",57.80B
"April 21, 2017",57.54B
"April 20, 2017",57.41B
"April 19, 2017",57.64B
"April 18, 2017",57.99B
"April 17, 2017",58.04B
"April 13, 2017",57.80B
"April 12, 2017",57.94B
"April 11, 2017",57.52B
"April 10, 2017",57.67B
"April 7, 2017",57.57B
"April 6, 2017",57.80B
"April 5, 2017",58.00B
"April 4, 2017",57.65B
"April 3, 2017",57.57B
"March 31, 2017",57.40B
"March 30, 2017",57.42B
"March 29, 2017",57.68B
"March 28, 2017",58.04B
"March 27, 2017",57.94B
"March 24, 2017",58.08B
"March 23, 2017",57.87B
"March 22, 2017",57.92B
"March 21, 2017",57.87B
"March 20, 2017",56.82B
"March 17, 2017",57.28B
"March 16, 2017",57.12B
"March 15, 2017",57.39B
"March 14, 2017",56.60B
"March 13, 2017",56.60B
"March 10, 2017",56.44B
"March 9, 2017",56.03B
"March 8, 2017",56.21B
"March 7, 2017",57.17B
"March 6, 2017",57.30B
"March 3, 2017",57.31B
"March 2, 2017",57.62B
"March 1, 2017",57.32B
"Feb. 28, 2017",57.75B
"Feb. 27, 2017",57.27B
"Feb. 24, 2017",57.34B
"Feb. 23, 2017",56.61B
"Feb. 22, 2017",55.88B
"Feb. 21, 2017",55.33B
"Feb. 17, 2017",54.82B
"Feb. 16, 2017",55.20B
"Feb. 15, 2017",53.72B
"Feb. 14, 2017",54.60B
"Feb. 13, 2017",55.05B
"Feb. 10, 2017",54.64B
"Feb. 9, 2017",54.39B
"Feb. 8, 2017",55.02B
"Feb. 7, 2017",54.39B
"Feb. 6, 2017",54.27B
"Feb. 3, 2017",54.32B
"Feb. 2, 2017",54.42B
"Feb. 1, 2017",54.12B
"Jan. 31, 2017",54.95B
"Jan. 30, 2017",53.98B
"Jan. 27, 2017",53.86B
"Jan. 26, 2017",53.98B
"Jan. 25, 2017",53.96B
"Jan. 24, 2017",54.03B
"Jan. 23, 2017",53.92B
"Jan. 20, 2017",54.13B
"Jan. 19, 2017",53.98B
"Jan. 18, 2017",54.25B
"Jan. 17, 2017",54.22B
"Jan. 13, 2017",54.05B
"Jan. 12, 2017",54.28B
"Jan. 11, 2017",53.97B
"Jan. 10, 2017",53.55B
"Jan. 9, 2017",53.65B
"Jan. 6, 2017",54.24B
"Jan. 5, 2017",54.42B
"Jan. 4, 2017",54.36B
