date,us_crude_oil_production
"Sept. 30, 1980",258.58M
"Aug. 31, 1980",260.84M
"July 31, 1980",264.96M
"June 30, 1980",256.62M
"May 31, 1980",267.68M
"April 30, 1980",260.54M
"March 31, 1980",269.65M
"Feb. 29, 1980",252.43M
"Jan. 31, 1980",268.94M
"Dec. 31, 1979",267.05M
"Nov. 30, 1979",262.82M
"Oct. 31, 1979",267.26M
"Sept. 30, 1979",255.69M
"Aug. 31, 1979",264.98M
"July 31, 1979",259.28M
"June 30, 1979",252.95M
"May 31, 1979",266.63M
"April 30, 1979",256.59M
"March 31, 1979",266.64M
"Feb. 28, 1979",238.71M
"Jan. 31, 1979",262.72M
"Dec. 31, 1978",268.51M
"Nov. 30, 1978",262.23M
"Oct. 31, 1978",273.42M
"Sept. 30, 1978",264.01M
"Aug. 31, 1978",271.50M
"July 31, 1978",271.44M
"June 30, 1978",264.97M
"May 31, 1978",273.58M
"April 30, 1978",264.53M
"March 31, 1978",270.32M
"Feb. 28, 1978",234.54M
"Jan. 31, 1978",259.15M
"Dec. 31, 1977",263.10M
"Nov. 30, 1977",257.38M
"Oct. 31, 1977",265.78M
"Sept. 30, 1977",254.39M
"Aug. 31, 1977",257.51M
"July 31, 1977",251.24M
"June 30, 1977",243.06M
"May 31, 1977",250.32M
"April 30, 1977",244.35M
"March 31, 1977",250.78M
"Feb. 28, 1977",227.89M
"Jan. 31, 1977",243.48M
"Dec. 31, 1976",249.88M
"Nov. 30, 1976",242.39M
"Oct. 31, 1976",249.96M
"Sept. 30, 1976",244.49M
"Aug. 31, 1976",251.43M
"July 31, 1976",251.94M
"June 30, 1976",242.83M
"May 31, 1976",251.86M
"April 30, 1976",242.31M
"March 31, 1976",255.20M
"Feb. 29, 1976",238.70M
"Jan. 31, 1976",255.18M
"Dec. 31, 1975",255.86M
"Nov. 30, 1975",248.34M
"Oct. 31, 1975",258.06M
"Sept. 30, 1975",248.39M
"Aug. 31, 1975",255.71M
"July 31, 1975",258.41M
"June 30, 1975",252.62M
"May 31, 1975",259.74M
"April 30, 1975",253.70M
"March 31, 1975",263.30M
"Feb. 28, 1975",240.55M
"Jan. 31, 1975",262.10M
"Dec. 31, 1974",264.32M
"Nov. 30, 1974",257.06M
"Oct. 31, 1974",266.95M
"Sept. 30, 1974",253.29M
"Aug. 31, 1974",269.66M
"July 31, 1974",272.18M
"June 30, 1974",263.41M
"May 31, 1974",276.23M
"April 30, 1974",268.62M
"March 31, 1974",277.93M
"Feb. 28, 1974",255.98M
"Jan. 31, 1974",276.95M
"Dec. 31, 1973",280.96M
"Nov. 30, 1973",274.83M
"Oct. 31, 1973",285.94M
"Sept. 30, 1973",271.96M
"Aug. 31, 1973",284.22M
"July 31, 1973",285.73M
"June 30, 1973",276.42M
"May 31, 1973",287.13M
"April 30, 1973",278.76M
"March 31, 1973",287.43M
"Feb. 28, 1973",263.07M
"Jan. 31, 1973",284.45M
"Dec. 31, 1972",289.38M
"Nov. 30, 1972",282.78M
"Oct. 31, 1972",293.93M
"Sept. 30, 1972",285.24M
"Aug. 31, 1972",293.97M
"July 31, 1972",294.38M
"June 30, 1972",285.66M
"May 31, 1972",298.03M
"April 30, 1972",285.39M
"March 31, 1972",293.32M
"Feb. 29, 1972",270.74M
"Jan. 31, 1972",282.53M
"Dec. 31, 1971",282.10M
"Nov. 30, 1971",274.17M
"Oct. 31, 1971",284.02M
"Sept. 30, 1971",274.05M
"Aug. 31, 1971",291.74M
"July 31, 1971",293.12M
"June 30, 1971",288.12M
"May 31, 1971",299.00M
"April 30, 1971",293.07M
"March 31, 1971",302.81M
"Feb. 28, 1971",272.41M
"Jan. 31, 1971",299.30M
"Dec. 31, 1970",308.26M
"Nov. 30, 1970",301.32M
"Oct. 31, 1970",310.40M
"Sept. 30, 1970",295.59M
"Aug. 31, 1970",296.36M
"July 31, 1970",285.27M
"June 30, 1970",280.77M
"May 31, 1970",295.21M
"April 30, 1970",287.73M
"March 31, 1970",294.75M
"Feb. 28, 1970",267.96M
"Jan. 31, 1970",293.82M
"Dec. 31, 1969",295.37M
"Nov. 30, 1969",280.38M
"Oct. 31, 1969",285.60M
"Sept. 30, 1969",278.85M
"Aug. 31, 1969",281.08M
"July 31, 1969",288.14M
"June 30, 1969",288.94M
"May 31, 1969",290.04M
"April 30, 1969",277.14M
"March 31, 1969",280.70M
"Feb. 28, 1969",249.98M
"Jan. 31, 1969",275.53M
"Dec. 31, 1968",276.09M
"Nov. 30, 1968",269.07M
"Oct. 31, 1968",276.40M
"Sept. 30, 1968",267.96M
"Aug. 31, 1968",283.15M
"July 31, 1968",283.84M
"June 30, 1968",274.32M
"May 31, 1968",285.36M
"April 30, 1968",273.69M
"March 31, 1968",288.88M
"Feb. 29, 1968",270.42M
"Jan. 31, 1968",279.87M
"Dec. 31, 1967",276.14M
"Nov. 30, 1967",269.35M
"Oct. 31, 1967",279.00M
"Sept. 30, 1967",272.84M
"Aug. 31, 1967",292.50M
"July 31, 1967",283.78M
"June 30, 1967",256.17M
"May 31, 1967",259.92M
"April 30, 1967",254.25M
"March 31, 1967",264.85M
"Feb. 28, 1967",241.37M
"Jan. 31, 1967",265.58M
"Dec. 31, 1966",263.84M
"Nov. 30, 1966",252.82M
"Oct. 31, 1966",258.01M
"Sept. 30, 1966",247.63M
"Aug. 31, 1966",255.81M
"July 31, 1966",255.12M
"June 30, 1966",250.39M
"May 31, 1966",258.68M
"April 30, 1966",248.16M
"March 31, 1966",257.11M
"Feb. 28, 1966",230.73M
"Jan. 31, 1966",249.46M
"Dec. 31, 1965",253.58M
"Nov. 30, 1965",239.64M
"Oct. 31, 1965",244.12M
"Sept. 30, 1965",222.53M
"Aug. 31, 1965",240.18M
"July 31, 1965",237.61M
"June 30, 1965",232.44M
"May 31, 1965",238.25M
"April 30, 1965",236.84M
"March 31, 1965",243.76M
"Feb. 28, 1965",218.61M
"Jan. 31, 1965",240.95M
"Dec. 31, 1964",240.86M
"Nov. 30, 1964",229.03M
"Oct. 31, 1964",236.30M
"Sept. 30, 1964",225.96M
"Aug. 31, 1964",230.93M
"July 31, 1964",231.65M
"June 30, 1964",226.81M
"May 31, 1964",234.74M
"April 30, 1964",232.18M
"March 31, 1964",239.07M
"Feb. 29, 1964",222.95M
"Jan. 31, 1964",236.34M
"Dec. 31, 1963",232.84M
"Nov. 30, 1963",226.32M
"Oct. 31, 1963",233.61M
"Sept. 30, 1963",225.21M
"Aug. 31, 1963",236.83M
"July 31, 1963",235.14M
"June 30, 1963",226.85M
"May 31, 1963",234.50M
"April 30, 1963",228.27M
"March 31, 1963",234.29M
"Feb. 28, 1963",212.44M
"Jan. 31, 1963",226.42M
"Dec. 31, 1962",228.82M
"Nov. 30, 1962",223.23M
"Oct. 31, 1962",228.38M
"Sept. 30, 1962",219.59M
"Aug. 31, 1962",224.24M
"July 31, 1962",224.02M
"June 30, 1962",217.71M
"May 31, 1962",222.97M
"April 30, 1962",221.74M
"March 31, 1962",228.66M
"Feb. 28, 1962",209.07M
"Jan. 31, 1962",227.76M
"Dec. 31, 1961",226.64M
"Nov. 30, 1961",214.57M
"Oct. 31, 1961",220.94M
"Sept. 30, 1961",209.85M
"Aug. 31, 1961",220.22M
"July 31, 1961",215.70M
"June 30, 1961",213.08M
"May 31, 1961",221.55M
"April 30, 1961",219.85M
