date,year_high
"Jan. 29, 2018",139.24
"Jan. 26, 2018",138.50
"Jan. 25, 2018",138.38
"Jan. 24, 2018",138.38
"Jan. 23, 2018",137.73
"Jan. 22, 2018",137.73
"Jan. 19, 2018",137.73
"Jan. 18, 2018",137.73
"Jan. 17, 2018",137.73
"Jan. 16, 2018",137.73
"Jan. 12, 2018",136.58
"Jan. 11, 2018",136.26
"Jan. 10, 2018",135.79
"Jan. 9, 2018",135.79
"Jan. 8, 2018",135.79
"Jan. 5, 2018",132.36
"Jan. 4, 2018",130.87
"Jan. 3, 2018",130.20
"Jan. 2, 2018",128.88
"Dec. 29, 2017",128.49
"Dec. 28, 2017",128.17
"Dec. 27, 2017",127.94
"Dec. 26, 2017",127.94
"Dec. 22, 2017",127.89
"Dec. 21, 2017",127.89
"Dec. 20, 2017",127.89
"Dec. 19, 2017",127.54
"Dec. 18, 2017",127.54
"Dec. 15, 2017",126.44
"Dec. 14, 2017",124.87
"Dec. 13, 2017",124.79
"Dec. 12, 2017",124.79
"Dec. 11, 2017",124.79
"Dec. 8, 2017",124.79
"Dec. 7, 2017",124.79
"Dec. 6, 2017",124.79
"Dec. 5, 2017",124.79
"Dec. 4, 2017",124.79
"Dec. 1, 2017",124.79
"Nov. 30, 2017",124.79
"Nov. 29, 2017",124.79
"Nov. 28, 2017",124.79
"Nov. 27, 2017",124.79
"Nov. 24, 2017",124.79
"Nov. 22, 2017",124.79
"Nov. 21, 2017",124.79
"Nov. 20, 2017",124.79
"Nov. 17, 2017",124.79
"Nov. 16, 2017",124.79
"Nov. 15, 2017",124.79
"Nov. 14, 2017",124.79
"Nov. 13, 2017",124.79
"Nov. 10, 2017",124.79
"Nov. 9, 2017",124.79
"Nov. 8, 2017",124.79
"Nov. 7, 2017",124.79
"Nov. 6, 2017",124.79
"Nov. 3, 2017",124.79
"Nov. 2, 2017",124.79
"Nov. 1, 2017",124.79
"Oct. 31, 2017",124.79
"Oct. 30, 2017",124.79
"Oct. 27, 2017",124.79
"Oct. 26, 2017",124.79
"Oct. 25, 2017",124.79
"Oct. 24, 2017",124.79
"Oct. 23, 2017",124.79
"Oct. 20, 2017",124.79
"Oct. 19, 2017",124.79
"Oct. 18, 2017",124.79
"Oct. 17, 2017",124.79
"Oct. 16, 2017",124.79
"Oct. 13, 2017",124.79
"Oct. 12, 2017",124.79
"Oct. 11, 2017",124.79
"Oct. 10, 2017",124.79
"Oct. 9, 2017",124.79
"Oct. 6, 2017",124.79
"Oct. 5, 2017",124.79
"Oct. 4, 2017",124.79
"Oct. 3, 2017",124.79
"Oct. 2, 2017",124.79
"Sept. 29, 2017",124.79
"Sept. 28, 2017",124.79
"Sept. 27, 2017",124.79
"Sept. 26, 2017",124.79
"Sept. 25, 2017",124.79
"Sept. 22, 2017",124.79
"Sept. 21, 2017",124.79
"Sept. 20, 2017",124.79
"Sept. 19, 2017",124.79
"Sept. 18, 2017",124.79
"Sept. 15, 2017",124.79
"Sept. 14, 2017",124.79
"Sept. 13, 2017",124.79
"Sept. 12, 2017",124.79
"Sept. 11, 2017",124.79
"Sept. 8, 2017",124.79
"Sept. 7, 2017",124.79
"Sept. 6, 2017",124.79
"Sept. 5, 2017",124.79
"Sept. 1, 2017",124.79
"Aug. 31, 2017",124.79
"Aug. 30, 2017",124.79
"Aug. 29, 2017",124.79
"Aug. 28, 2017",124.79
"Aug. 25, 2017",124.79
"Aug. 24, 2017",124.79
"Aug. 23, 2017",124.79
"Aug. 22, 2017",124.79
"Aug. 21, 2017",124.79
"Aug. 18, 2017",124.79
"Aug. 17, 2017",124.79
"Aug. 16, 2017",124.79
"Aug. 15, 2017",124.79
