date,market_cap
"Oct. 19, 2016",806.95M
"Oct. 18, 2016",796.60M
"Oct. 17, 2016",793.65M
"Oct. 14, 2016",789.21M
"Oct. 13, 2016",780.35M
"Oct. 12, 2016",774.44M
"Oct. 11, 2016",721.23M
"Oct. 10, 2016",736.01M
"Oct. 7, 2016",725.66M
"Oct. 6, 2016",736.01M
"Oct. 5, 2016",736.01M
"Oct. 4, 2016",740.44M
"Oct. 3, 2016",743.40M
"Sept. 30, 2016",749.31M
"Sept. 29, 2016",744.78M
"Sept. 28, 2016",762.52M
"Sept. 27, 2016",746.26M
"Sept. 26, 2016",758.08M
"Sept. 23, 2016",763.99M
"Sept. 22, 2016",786.16M
"Sept. 21, 2016",786.16M
"Sept. 20, 2016",796.51M
